Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,CLTV,Total Extra Services
0,1,0,0,55,1,1,0,0,1,0,1,1,1,1,1,5182,5
0,0,0,0,18,1,0,0,0,1,0,0,0,0,1,2,4952,2
1,0,1,1,42,1,0,1,0,0,1,0,1,1,0,0,3764,3
1,0,0,0,43,1,1,0,0,0,0,1,1,1,0,2,5845,4
1,0,0,0,20,1,1,0,0,1,0,1,0,0,1,0,2927,4
1,0,0,0,53,0,0,0,0,1,1,1,1,1,0,0,5677,3
0,0,1,1,6,1,0,0,0,0,0,0,0,1,0,2,4122,1
1,0,1,1,22,1,0,1,1,0,1,0,0,0,1,2,5036,3
0,0,0,0,9,1,0,0,0,0,0,1,1,0,1,2,2952,3
0,1,0,0,8,1,0,0,1,0,0,1,0,0,1,1,3950,3
0,0,1,0,12,1,0,1,0,0,1,0,0,0,0,0,4474,2
1,0,0,0,25,1,1,1,1,1,1,0,1,0,0,0,5917,6
1,0,1,1,40,1,0,0,0,0,0,0,0,0,1,0,5918,1
1,0,1,0,71,1,0,0,1,1,1,1,1,2,1,0,5872,5
0,0,1,0,68,0,0,0,1,1,1,1,1,2,0,0,4864,4
0,0,0,0,39,0,0,0,1,1,1,0,0,0,0,0,3618,2
0,1,1,1,12,0,0,0,0,0,1,0,0,0,1,2,3353,0
1,0,0,0,21,1,1,0,0,0,0,0,0,0,1,1,2071,2
0,0,1,0,26,1,1,0,1,0,0,0,0,0,0,0,5168,3
0,0,1,0,52,0,0,1,0,1,0,0,0,1,0,2,5509,2
0,0,0,0,40,1,1,0,0,1,1,1,1,1,1,0,3784,5
1,0,1,0,72,1,1,1,1,1,1,1,1,2,1,0,6212,7
1,1,1,0,41,1,0,0,1,0,0,1,1,0,1,1,4914,4
1,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,3172,4
1,0,0,0,42,1,1,0,0,0,1,1,1,0,1,1,3286,4
1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,3063,1
1,0,1,0,63,1,1,0,0,1,0,1,1,2,0,1,4004,5
0,0,1,0,72,1,1,1,0,1,1,1,1,2,1,0,4498,6
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2798,1
1,0,1,0,72,1,1,1,0,1,1,1,1,2,1,0,4938,6
1,0,0,0,9,1,0,0,0,1,0,0,0,0,1,1,4895,2
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,5925,1
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,3043,2
1,1,0,0,35,1,1,1,0,0,0,0,1,0,0,0,5527,4
1,0,1,1,16,1,0,0,0,0,0,0,0,2,0,2,2856,1
0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,2,3763,1
1,0,0,1,19,1,0,0,0,0,0,0,0,0,1,1,5188,1
1,1,1,0,9,1,0,0,0,0,0,0,0,0,1,2,2302,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5565,0
0,0,1,0,10,1,0,0,0,0,0,0,0,1,0,2,3509,1
0,1,1,0,55,1,1,0,0,0,0,0,0,0,0,0,4763,2
0,0,1,1,16,1,0,1,0,1,0,1,1,0,0,0,3337,5
1,0,1,1,61,0,0,1,0,1,0,0,0,0,0,0,6495,2
0,0,0,0,22,1,1,0,0,0,0,1,0,0,1,0,3549,3
0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,3796,3
0,0,0,0,55,1,0,0,1,1,0,0,1,2,1,2,4634,4
0,0,0,0,70,1,1,1,1,1,0,1,1,2,0,2,4180,7
0,0,1,1,28,1,0,0,0,0,0,0,0,1,1,0,5195,1
0,0,1,0,62,1,1,0,0,1,0,1,1,0,1,1,5049,5
1,0,1,0,31,1,1,1,1,0,1,0,1,1,1,0,4258,5
0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,1,2578,3
0,0,1,0,61,0,0,0,1,1,1,1,0,2,0,0,4159,3
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3107,1
0,0,1,1,72,1,1,1,1,1,1,1,0,2,0,0,6087,6
0,0,0,0,23,1,0,0,0,0,0,0,0,1,1,0,5916,1
1,0,1,1,72,1,1,1,1,1,1,0,1,1,1,0,4927,6
1,0,0,0,46,1,1,1,0,0,0,1,0,0,1,0,5593,4
0,0,1,1,62,1,1,0,0,0,0,1,1,0,1,0,5057,4
1,1,0,0,20,1,1,0,0,0,0,1,0,0,1,1,4915,3
0,0,1,1,61,1,1,1,1,1,1,0,1,1,1,1,4666,6
1,0,0,0,23,1,0,0,0,0,0,0,0,1,0,2,3434,1
1,0,1,0,72,1,1,1,1,1,0,1,1,2,1,1,6181,7
0,0,1,0,25,1,0,0,0,0,1,1,1,0,1,1,3273,3
0,0,0,0,14,1,0,0,1,0,1,0,0,0,1,0,4400,2
0,0,1,0,72,1,0,1,1,1,0,0,1,2,0,0,4505,5
1,0,1,1,63,1,0,0,0,0,0,0,0,2,0,2,6002,1
1,0,0,0,62,1,1,1,1,0,0,0,1,1,1,0,6468,5
