CustomerID,CLTV,Tenure Months,Total Extra Services,Payment Method,Multiple Lines,Contract,Streaming TV,Phone Service,Paperless Billing,Streaming Movies,Senior Citizen,Tech Support,Online Security
7590-VHVEG,3964,1,1,1,0,0,0,0,1,0,0,0,0
5575-GNVDE,3441,34,3,2,0,1,0,1,0,0,0,0,1
7795-CFOCW,4307,45,2,0,0,1,0,0,0,0,0,1,1
6713-OKOMC,2013,10,1,2,0,0,0,0,0,0,0,0,1
6388-TABGU,4529,62,3,0,0,1,0,1,0,0,0,0,1
9763-GRSKD,5764,13,2,2,0,0,0,1,1,0,0,0,1
7469-LKBCI,4726,16,1,0,0,2,0,1,0,0,0,0,0
8191-XWSZG,5186,52,1,2,0,1,0,1,0,0,0,0,0
1680-VDCWW,5279,12,1,0,0,1,0,1,0,0,0,0,0
3638-WEABW,6407,58,3,0,1,2,0,1,1,0,0,1,0
6322-HRPFA,4986,49,3,0,0,0,0,1,0,0,0,1,1
6865-JZNKO,2725,30,3,0,0,0,0,1,1,0,0,0,1
5248-YGIJN,5974,72,7,0,1,2,1,1,1,1,0,1,1
6827-IEAUQ,3213,27,4,2,0,1,0,1,0,0,0,1,1
7310-EGVHZ,5526,1,1,0,0,0,0,1,0,0,0,0,0
3413-BMNZE,3144,1,1,0,0,0,0,1,0,0,1,0,0
8865-TNMNX,2392,10,2,2,0,1,0,1,0,0,0,0,0
9489-DEDVP,4715,70,5,0,1,2,1,1,1,0,0,0,1
9867-JCZSP,3646,17,1,2,0,1,0,1,0,0,0,0,0
4671-VJLCL,4595,63,6,0,1,2,1,1,1,0,0,1,1
4080-IIARD,2569,13,5,1,1,0,1,1,1,0,0,1,1
5948-UJZLF,3805,2,2,2,0,0,0,1,0,0,0,0,0
7639-LIAYI,4142,52,5,0,1,2,1,1,1,1,0,1,1
2954-PIBKO,5128,69,4,0,1,2,0,1,1,0,0,1,1
6575-SUVOI,3154,25,4,0,1,0,1,1,1,0,1,1,1
4667-QONEA,5153,60,5,0,0,1,0,1,1,1,1,1,1
3957-SQXML,5408,34,2,0,1,2,0,1,0,0,0,0,0
0526-SXDJP,6091,72,3,0,0,2,0,0,0,0,0,0,1
0557-ASKVU,4948,18,2,0,0,1,0,1,1,0,0,1,0
5122-CYFXA,5387,3,4,1,0,0,1,1,1,1,0,1,0
3410-YOQBQ,4984,31,5,2,0,2,1,1,0,1,0,1,0
3170-NMYVV,5849,50,1,0,0,2,0,1,0,0,0,0,0
2273-QCKXA,3178,1,1,2,0,0,0,1,0,0,0,1,0
0731-EBJQB,5482,52,1,1,0,1,0,1,1,0,0,0,0
8028-PNXHQ,4444,62,2,0,1,2,0,1,1,0,0,0,0
5630-AHZIL,5613,3,3,0,0,0,0,1,1,1,0,1,1
6416-JNVRK,2867,46,2,0,0,1,0,1,0,1,0,0,0
5590-ZSKRV,5614,8,3,2,0,0,0,1,0,0,0,0,1
0191-ZHSKZ,3033,30,5,1,0,0,1,1,1,1,1,0,1
3887-PBQAO,5741,45,2,0,1,1,0,1,1,0,0,0,0
8108-UXRQN,3443,11,3,1,0,0,1,0,0,1,0,0,1
0318-ZOPWS,5422,49,1,0,0,2,0,1,1,0,0,0,0
4808-YNLEU,5255,35,3,0,0,1,1,1,1,0,0,0,1
1862-QRWPE,4124,48,1,0,0,2,0,1,0,0,0,0,0
2796-NNUFI,5480,46,1,2,0,2,0,1,1,0,0,0,0
3016-KSVCP,3664,29,1,2,0,0,1,0,0,0,0,0,0
7233-PAHHL,5825,66,6,2,1,2,1,1,1,1,0,1,1
9803-FTJCG,4117,71,4,0,1,1,0,1,1,0,0,1,1
3212-KXOCR,4158,52,1,0,0,2,0,1,0,0,0,0,0
6380-ARCEH,2710,1,1,2,0,0,0,1,0,0,0,0,0
3679-XASPY,5612,1,1,1,0,0,0,1,0,0,0,0,0
5386-THSLQ,6238,66,3,0,0,1,1,0,0,0,1,0,0
6180-YBIQI,4015,5,0,2,0,0,0,0,0,0,0,0,0
9750-BOOHV,3585,32,1,2,0,1,0,0,0,0,0,0,1
2848-YXSMW,5234,72,1,0,0,2,0,1,0,0,0,0,0
4549-ZDQYY,6078,52,3,0,0,1,0,1,0,0,0,1,1
5256-SKJGO,4850,64,3,1,0,2,1,0,1,1,0,1,0
9560-BBZXK,4871,36,1,0,0,2,0,0,0,0,0,0,1
8402-OOOHJ,5918,41,1,2,0,2,0,1,0,0,0,0,0
2928-HLDBA,5346,6,1,2,0,0,0,1,0,0,0,0,0
6497-TILVL,3097,7,2,2,0,0,0,1,0,0,0,0,1
7219-TLZHO,3172,4,1,2,0,0,0,1,0,0,0,0,0
6734-PSBAW,5901,72,2,0,1,2,0,1,1,0,0,0,0
3930-ZGWVE,2484,1,1,2,0,0,0,1,0,0,0,0,0
2639-UGMAZ,5372,71,4,1,0,1,1,0,1,1,1,0,1
8587-XYZSF,6064,67,1,0,0,2,0,1,0,0,0,1,0
7799-LGRDP,2017,43,2,0,1,2,0,1,1,0,0,0,0
3774-VBNXY,4557,64,1,2,0,2,0,1,0,0,0,0,0
6217-KDYWC,4393,57,1,2,0,2,0,1,1,0,0,0,0
3146-MSEGF,6102,72,7,0,1,2,1,1,1,1,1,1,1
1131-QQZEB,4329,71,2,0,1,2,0,1,0,0,1,0,0
6837-BJYDQ,2543,3,1,2,0,1,0,1,0,0,0,0,0
6440-DKQGE,4320,30,4,0,0,1,1,1,0,0,0,0,0
3466-BYAVD,3128,15,4,2,0,0,0,1,1,1,0,1,0
3780-YVMFA,3123,8,3,1,0,0,1,1,1,1,0,1,0
9073-ZZIAY,5769,62,6,1,0,2,1,1,0,1,0,1,1
3077-RSNTJ,4293,6,1,2,0,0,0,1,0,0,0,0,0
2749-CTKAJ,2173,22,1,2,0,1,0,1,0,0,0,0,0
6371-NZYEG,5511,16,4,2,0,2,1,1,0,0,0,0,1
7554-NEWDD,3611,10,2,0,1,2,0,1,0,0,0,0,0
8992-VONJD,5156,13,3,1,0,0,0,1,1,0,0,0,1
4648-YPBTM,5644,53,5,0,1,2,0,1,1,1,0,1,0
2907-ILJBN,4047,11,1,2,0,1,0,1,0,0,0,0,0
6345-FZOQH,5570,69,1,2,0,2,0,1,0,0,0,0,0
5997-OPVFA,6212,72,7,0,1,2,1,1,1,1,0,1,1
1159-WFSGR,3990,16,1,1,0,0,0,1,0,0,0,0,0
6727-IOTLZ,2564,14,5,2,0,2,1,1,0,1,0,1,0
5918-VUKWP,5358,32,1,0,0,1,0,1,0,0,0,0,0
1744-JHKYS,3421,34,2,1,1,0,0,1,0,0,0,0,0
3712-PKXZA,5110,61,1,0,0,1,0,1,1,0,0,0,0
6582-OIVSP,3575,1,1,2,0,0,0,1,0,0,0,0,0
5524-KHNJP,5344,33,5,0,0,1,1,1,0,1,0,0,1
4827-USJHP,2764,20,2,2,0,0,0,1,1,0,0,0,0
8167-GJLRN,3108,3,0,1,0,0,0,0,0,0,0,1,0
0956-SYCWG,2024,13,1,1,0,1,0,1,0,0,0,0,0
8017-UVSZU,3359,40,3,0,1,0,0,1,0,0,0,0,0
7100-FQPRV,4106,43,4,0,1,1,0,1,1,1,0,1,1
2984-RGEYA,5325,69,1,0,0,2,0,1,0,0,0,0,0
2146-EGVDT,4149,59,1,0,0,2,0,1,0,0,0,0,0
9178-JHUVJ,4634,24,2,0,1,2,0,1,1,0,0,0,0
3645-DEYGF,3358,1,1,2,0,0,0,1,0,0,0,0,0
6348-SNFUS,4556,72,4,0,0,2,0,0,1,1,0,1,1
4195-NZGTA,5858,1,0,1,0,0,0,0,0,0,0,0,0
7157-SMCFK,5411,61,1,2,0,2,0,1,0,0,0,0,0
4709-LKHYG,3800,29,1,1,0,1,0,1,0,0,0,0,0
0699-NDKJM,4115,57,5,0,0,0,1,0,1,1,0,0,1
9286-BHDQG,5041,72,3,0,0,2,0,0,0,0,0,1,1
0230-WEQUW,5500,66,4,0,0,2,1,0,1,0,0,1,1
2040-LDIWQ,5256,65,6,0,1,2,1,1,1,1,0,1,0
4443-EMBNA,4642,71,2,0,1,2,0,1,0,0,0,0,0
6469-MRVET,4160,1,1,1,0,1,0,1,1,0,0,0,0
5961-VUSRV,4451,12,1,0,0,1,0,1,1,0,0,0,0
6778-JFCMK,4806,24,3,2,0,1,1,0,1,1,0,0,1
6341-JVQGF,5643,31,5,2,0,1,1,1,1,1,0,1,1
0945-TSONX,5698,47,6,0,1,2,1,1,1,1,0,1,1
7083-MIOPC,5733,72,1,0,0,2,0,1,0,0,0,0,0
1984-GPTEH,5491,29,2,1,1,0,0,1,0,0,0,0,0
0621-JFHOL,3180,10,0,2,0,2,0,0,1,0,0,1,0
9227-UAQFT,4272,16,1,2,0,2,0,1,0,0,0,0,0
7301-ABVAD,4530,72,6,0,1,2,1,1,0,1,0,1,0
7576-ASEJU,5246,41,4,0,0,1,1,1,1,1,0,1,1
4522-AKYLR,5557,13,3,1,0,0,0,1,1,0,1,0,0
0303-UNCIP,5043,41,4,2,1,1,0,1,0,1,0,0,0
3282-ZISZV,3945,32,6,0,1,1,1,1,0,1,0,1,0
3675-YDUPJ,3768,10,1,2,0,0,0,1,1,0,0,0,0
4111-BNXIF,4478,67,4,1,0,2,1,0,1,1,0,1,0
5046-NUHWD,3094,29,3,1,0,0,0,0,1,1,1,0,1
7605-BDWDC,2539,31,3,0,0,2,0,0,1,1,0,1,1
0123-CRBRT,5152,61,7,2,1,2,1,1,0,1,0,1,1
6292-TOSSS,4297,50,2,0,1,2,0,1,0,0,0,0,0
7014-ZZXAW,5409,71,2,0,1,2,0,1,1,0,0,0,0
7633-MVPUY,4012,57,3,1,0,2,0,1,1,0,0,1,1
3179-GBRWV,4604,21,4,0,0,0,0,1,1,1,1,0,1
8645-KWHJO,4900,14,3,1,0,0,1,0,1,1,0,1,0
4130-MZLCC,2739,5,2,0,0,0,0,1,0,0,0,0,0
0314-TKOSI,5377,6,3,2,0,0,0,1,0,0,0,0,1
8229-MYEJZ,5765,10,2,1,0,0,0,1,0,0,0,0,0
2080-SRCDE,4556,1,2,2,1,0,0,1,0,0,0,0,0
9577-WJVCQ,5310,68,3,2,1,0,0,1,0,0,0,0,1
3808-HFKDE,3460,20,1,1,0,0,0,1,1,0,0,0,0
3727-OWVYD,2075,35,4,2,0,1,0,1,0,0,0,0,1
1563-IWQEX,5715,12,1,2,0,0,0,1,0,0,0,0,0
8203-XJZRC,5384,1,1,2,0,0,0,1,0,0,0,0,0
2985-JUUBZ,3718,40,5,1,1,0,1,1,1,1,0,0,0
0895-LMRSF,3314,23,3,0,0,1,1,1,1,1,0,0,0
8181-YHCMF,4864,68,4,0,0,2,1,0,0,1,0,1,0
1248-DYXUB,5320,52,2,2,1,2,0,1,0,0,0,0,0
4115-BNPJY,5625,29,4,2,0,2,1,1,0,1,0,1,0
4091-TVOCN,2257,48,6,0,1,1,1,1,1,1,0,0,1
1098-TDVUQ,4745,1,1,0,0,0,0,1,1,0,0,0,0
3973-SKMLN,5308,71,1,0,0,2,0,1,1,0,0,0,0
9880-TDQAC,5471,72,4,1,0,2,1,0,1,1,0,1,0
8705-WZCYL,2269,1,1,1,0,0,0,1,1,0,0,0,0
7102-JJVTX,4562,9,2,2,0,1,0,1,0,0,0,0,1
8626-PTQGE,5388,69,4,0,0,2,1,0,1,1,0,1,1
5697-GOMBF,5444,28,1,1,0,0,1,0,1,0,1,0,0
9385-EHGDO,4177,35,1,2,0,2,0,1,1,0,0,0,0
9498-FIMXL,5272,8,1,2,0,1,0,1,1,0,0,0,0
2088-IEBAU,5531,68,7,1,1,2,1,1,1,1,0,1,1
6035-BXTTY,4045,32,2,0,0,0,0,1,0,0,1,1,0
6885-PKOAM,4487,71,7,0,1,2,1,1,0,1,0,1,1
7520-HQWJU,4172,66,5,0,1,0,0,1,1,0,0,0,1
9639-BUJXT,5997,63,1,2,0,1,0,1,0,0,0,0,0
5924-SNGKP,3972,41,1,0,0,1,0,1,1,0,0,0,0
8966-SNIZF,5540,70,1,0,0,2,0,1,0,0,0,0,0
