customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,cltv,is_fiber
7590-VHVEG,female,0,1,0,1,0,0,0,1,0,0,0,0,month_to_month,1,electronic_check,3964,0
5575-GNVDE,male,0,0,0,34,1,0,1,0,1,0,0,0,one_year,0,mailed_check,3441,0
7795-CFOCW,male,0,0,0,45,0,0,1,0,1,1,0,0,one_year,0,bank_transfer,4307,0
1452-KIOVK,male,0,0,1,22,1,1,0,1,0,0,1,0,month_to_month,1,credit_card,4459,1
6713-OKOMC,female,0,0,0,10,0,0,1,0,0,0,0,0,month_to_month,0,mailed_check,2013,0
6388-TABGU,male,0,0,0,62,1,0,1,1,0,0,0,0,one_year,0,bank_transfer,4529,0
9763-GRSKD,male,0,1,1,13,1,0,1,0,0,0,0,0,month_to_month,1,mailed_check,5764,0
7469-LKBCI,male,0,0,0,16,1,0,0,0,0,0,0,0,two_year,0,credit_card,4726,0
8091-TTVAX,male,0,1,0,58,1,1,0,0,1,0,1,1,one_year,0,credit_card,6432,1
5129-JLPIS,male,0,0,0,25,1,0,1,0,1,1,1,1,month_to_month,1,electronic_check,5822,1
3655-SNQYZ,female,0,1,0,69,1,1,1,1,1,1,1,1,two_year,0,credit_card,5141,1
8191-XWSZG,female,0,0,0,52,1,0,0,0,0,0,0,0,one_year,0,mailed_check,5186,0
9959-WOFKT,male,0,0,0,71,1,1,1,0,1,0,1,1,two_year,0,bank_transfer,4479,1
4183-MYFRB,female,0,0,0,21,1,0,0,1,1,0,0,1,month_to_month,1,electronic_check,5982,1
1680-VDCWW,male,0,1,0,12,1,0,0,0,0,0,0,0,one_year,0,bank_transfer,5279,0
3638-WEABW,female,0,1,0,58,1,1,0,1,0,1,0,0,two_year,1,credit_card,6407,0
6322-HRPFA,male,0,1,1,49,1,0,1,1,0,1,0,0,month_to_month,0,credit_card,4986,0
6865-JZNKO,female,0,0,0,30,1,0,1,1,0,0,0,0,month_to_month,1,bank_transfer,2725,0
